 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0884911 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | -0.000335523 / 0.0310866 | 0 / -3.33067e-16 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / -1.11022e-16 | -0.00522161 / -0.0374085 | -2.22045e-16 / 0 | 0 / 0 | -1.11022e-16 / 0 | -0.00731202 / -0.0289968 | 0 / 0 | 0 / 0 | -1.06222e-06 / 0.0224451 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | -0.000464205 / -0.0277603 | 2.16137e-10 / -0.0413103 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0230055 / -0.000390116 | -2.22045e-16 / -2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / -1.11022e-16 | -0.0405358 / 0.00256587 | 0 / 4.44089e-16 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | 0.0395665 / -0.0108511 | 4.44089e-16 / 2.22045e-16 | 2.22045e-16 / 0 | 0.0591591 / -0.00173499 | 0 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | 0.747435 / 2.16137e-10 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | FT_EFF_Eigen_B_0__1 | 0.0292229 / -0.0287753 | 0.0240982 / -0.0236942 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0574897 / -0.0546056 |
 | FT_EFF_Eigen_B_2__1 | -0.0729285 / 0.0776345 | -0.0591987 / 0.0617556 | -0.0347167 / 0.0348732 | -0.0318783 / 0.0322543 | -0.0319469 / 0.0321932 | -0.0263951 / 0.0266225 | -0.031154 / 0.0314451 | 0 / 0 | -0.0306385 / 0.0306676 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0242448 / 0.0244014 | 0 / 0 | -0.0322672 / 0.0325193 | -0.021467 / 0.0221187 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0252165 / 0.0253183 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0683387 / 0.0730595 |
 | FT_EFF_Eigen_B_3__1 | 0.0389519 / -0.0377183 | 0.0312173 / -0.0305458 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | -3.33067e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -2.22045e-16 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0403545 / -0.0391565 |
 | FT_EFF_Eigen_B_8__1 | 0.0378212 / -0.0368981 | 0.0278196 / -0.0275165 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0383027 / -0.0375077 |
 | t#bar{t}t#bar{t} modelling (shower) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_BJES_Response | -1.11022e-16 / 0 | -3.33067e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | -0.021311 / -0.00406024 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | -0.00172501 / 0.0479507 | 0 / 2.22045e-16 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -1.11022e-16 / -1.11022e-16 | -2.22045e-16 / -2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | -3.33067e-16 / -4.44089e-16 | -0.0142722 / -0.0205443 | 0 / 0 | 0 / 0 | -3.33067e-16 / -3.33067e-16 | -0.022795 / 0.0186079 | 0.0341406 / -0.0260269 | 0.0273251 / -0.0398498 | 0.052592 / -0.0329975 | 0.00858539 / 0.0518468 | 0.0206269 / -0.0221352 | 0 / -2.22045e-16 | 0.0285944 / -0.0415381 | 0.0207938 / -0.027269 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0234979 / 0.0322713 |
 | JET_JER_EffectiveNP_1 | -1.11022e-16 / 0 | 0 / 0 | 2.22045e-16 / -3.33067e-16 | -1.11022e-16 / 0 | -1.11022e-16 / 0 | -0.0213182 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.0301415 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / 0 | 0 / -4.44089e-16 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | -1.11022e-16 / 0 | -3.33067e-16 / -3.33067e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0 / -2.22045e-16 | 0 / 2.22045e-16 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 0.0206253 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 2.22045e-16 / 0.0468904 | -1.11022e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -2.22045e-16 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 2.22045e-16 / 4.44089e-16 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0.0236319 / 0 | 2.22045e-16 / 0 | -1.11022e-16 / -2.22045e-16 | 0 / -1.11022e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1.11022e-16 / 0 |
 | JET_JER_EffectiveNP_2 | -1.11022e-16 / 0 | -2.22045e-16 / 0 | -1.11022e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 2.22045e-16 / 0.0272988 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0.0342377 | 0 / -0.0334623 | 0 / -1.11022e-16 | -1.11022e-16 / -2.22045e-16 | 2.22045e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | 2.16137e-10 / -0.0501379 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -0.00019125 / 0.0292484 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 0 |
 | JET_JER_EffectiveNP_3 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / -1.11022e-16 | 0 / 2.22045e-16 | -1.11022e-16 / -4.44089e-16 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -1.11022e-16 / 0 | 0.0207869 / -1.7636e-06 | 0 / 0 | 0 / 0 | 0.023511 / 9.69903e-05 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / -1.11022e-16 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / -1.11022e-16 | 0 / 4.44089e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 0 |
 | JET_JER_EffectiveNP_4 | -2.22045e-16 / 0 | -2.22045e-16 / 0 | -1.11022e-16 / 0 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / -3.33067e-16 | -0.00374508 / -0.0219421 | 0 / 0 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | 2.22045e-16 / 0 | 0 / -2.22045e-16 | -3.33067e-16 / 0 | 0.0473793 / 0.0277672 | 0 / 2.22045e-16 | 0 / 0 | -2.22045e-16 / -1.11022e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / -2.22045e-16 | -3.33067e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / -3.33067e-16 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0215841 / -0.0122206 | 0 / 0 | 0 / -1.11022e-16 | 0.0355251 / -0.000129429 | 0 / 2.22045e-16 | 2.22045e-16 / 0 | -1.11022e-16 / -1.11022e-16 | -3.33067e-16 / -3.33067e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 2.22045e-16 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.00548464 / 0.0350285 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1.11022e-16 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | -3.33067e-16 / -3.33067e-16 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 4.44089e-16 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0.00499135 / 0.0306441 | 2.22045e-16 / 0 | 2.22045e-16 / -1.11022e-16 | 2.22045e-16 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 2.22045e-16 |
 | JET_JER_EffectiveNP_6 | 0 / -1.11022e-16 | -2.22045e-16 / -3.33067e-16 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | 4.44089e-16 / 2.22045e-16 | 0 / 0 | 2.22045e-16 / 0 | 0.0442831 / 0.00399216 | 2.22045e-16 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_8 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 4.44089e-16 / 0 | 0 / 0 | 2.22045e-16 / -3.33067e-16 | 0 / 0 | -1.11022e-16 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 2.22045e-16 |
 | JET_JER_EffectiveNP_9 | -1.11022e-16 / 0 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0.0316717 / 0.00791124 | -1.11022e-16 / 0 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / -1.11022e-16 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0.0446464 / 0.00817513 | 0.0202202 / 0.00674847 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | -1.11022e-16 / -3.33067e-16 | -1.11022e-16 / 2.22045e-16 | 0.0276574 / -0.0294991 | 0.00392811 / -0.0592716 | 0.025996 / -0.0284516 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -0.00825936 / -0.0364123 | 0.0522905 / -0.0526312 | 0.0544232 / -0.056455 | 0.0500909 / -0.0220383 | 0.0145209 / 0.0310165 | 0.031495 / -0.0301581 | 0.0255499 / -0.0295411 | 0.0251978 / -0.0370849 | 0.019689 / -0.0223685 | 0 / 0 | 0.0245519 / -0.0229852 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / -2.22045e-16 |
 | JET_NNJvtEfficiency | 0 / 2.22045e-16 | -2.22045e-16 / 0 | -3.33067e-16 / -4.44089e-16 | 2.22045e-16 / 2.22045e-16 | 0 / -1.11022e-16 | -2.22045e-16 / -2.22045e-16 | 0 / -2.22045e-16 | 0 / 0 | -1.11022e-16 / -4.44089e-16 | 0 / 0 | 2.22045e-16 / 4.44089e-16 | 0 / 0 | -1.11022e-16 / -2.22045e-16 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / 0 | 0 / -1.11022e-16 | 0 / 2.22045e-16 | 2.22045e-16 / 0 | 0.026713 / -0.0265201 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Pileup_OffsetNPV | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -4.44089e-16 / -3.33067e-16 | 2.22045e-16 / 2.22045e-16 | 0.0239035 / -0.0173958 | 0.0108 / -0.024476 | 2.22045e-16 / 0 | 0.0202279 / 0.0395076 | 2.22045e-16 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0105102 / -0.0211936 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Pileup_RhoTopology | 0 / -1.11022e-16 | -2.22045e-16 / -2.22045e-16 | -1.11022e-16 / 0 | 0 / 2.22045e-16 | -3.33067e-16 / -3.33067e-16 | -0.0162554 / -0.020079 | 0 / 0 | 0 / 0 | 0 / -3.33067e-16 | -0.0227941 / 0.00627316 | 0.0251007 / -0.0254291 | 0.0187851 / -0.0329335 | 0.0510992 / -0.0167496 | 0.00740496 / 0.0481814 | -4.44089e-16 / -1.11022e-16 | -1.11022e-16 / 2.22045e-16 | 0.0251735 / -0.0354855 | 0.0182751 / -0.0241568 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0240389 / 0.0306326 |
 | ttt Cross-Section | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0 / 0 | -3.33067e-16 / -2.22045e-16 | -3.33067e-16 / 0 | 2.22045e-16 / -1.11022e-16 | -1.11022e-16 / -1.11022e-16 | 0 / -4.44089e-16 | 0 / 2.22045e-16 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 0 / 2.22045e-16 | 0.0256375 / -0.0236309 | 0.0121104 / -0.0275229 | 0.0499937 / -0.0163419 | -1.11022e-16 / -1.11022e-16 | 0 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0.013224 / -0.0236396 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 0 |
 | PRW_DATASF | 0 / 0 | -2.22045e-16 / -3.33067e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / -3.33067e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | 0 / -1.11022e-16 | 2.22045e-16 / -1.11022e-16 | -1.11022e-16 / -1.11022e-16 | -4.44089e-16 / -2.22045e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0.297917 / -0.286598 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -1.11022e-16 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | MUON_EFF_ISO_SYS | 0 / 0 | 0 / 0 | 0.0202231 / -0.0199974 | 0.0200638 / -0.019839 | 0.0205838 / -0.0202862 | 0.0203215 / -0.0201189 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0320385 / -0.0316379 | 0 / 0 | 0.0207925 / -0.0205453 | 0 / 0 | 0 / 0 | 0.0205961 / -0.0203237 | 0.0241623 / -0.0238036 | 0.029477 / -0.0294772 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.021365 / -0.0210992 |
 | JET_EffectiveNP_Modelling1 | 0 / 0 | 0 / 0 | -3.33067e-16 / -3.33067e-16 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / -3.33067e-16 | -0.000755405 / -0.0214719 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / 2.22045e-16 | 0.0219305 / -0.0218175 | 0.0119018 / -0.0255596 | 0.047197 / -0.0189095 | 0.0112566 / 0.0286364 | 0 / 0 | -1.11022e-16 / -2.22045e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1.11022e-16 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0.0476654 / -0.00075211 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / 2.22045e-16 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0 / 0 | 0 / 0 | -3.33067e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0.0461358 | 0 / 0 | 0 / 0 | -1.11022e-16 / -4.44089e-16 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_DataVsMC_MC16 | 0 / 0 | 0 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0 / -1.11022e-16 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | -3.33067e-16 / 2.22045e-16 | 0.050988 / 2.22045e-16 | -0.022284 / 0 | 0 / 0 | -2.22045e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -1.11022e-16 |
 | JET_JER_EffectiveNP_5 | 0 / 0 | 0 / 0 | -1.11022e-16 / -3.33067e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0.0478869 / 0.00553748 | 0.028493 / -0.0174857 | -1.11022e-16 / -1.11022e-16 | -1.11022e-16 / -4.44089e-16 | -1.11022e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
