 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4.88e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | -9.17e-05 | -3.44e-05 | -0.0121 | -9.7e-05 | 0.0308 | 0.211 | 0.0258 | 0 | -0.452 | -0.247 | 0.0679 | 0.0339 | 0.0418 | 1 | -0.286 | 0.0587 | -0.00494 | 0.164 | 0 | -4.44e-16 | 0.0456 | 0.0333 | -0.0252 | 0.238 | -0.00367 | -0.143 | 0.0211 | 0.468 | -0.273 | -0.0204 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.21e-05 | 8.54e-06 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 0.538 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.318 | 0.318 | 0.557 | 0 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | 0.0258 | 0.0262 | 0.0276 | 0.0281 | 0.0296 | -0.0974 | 0.027 | 0 | 4.44e-16 | 0.042 | 0.0143 | -0.0365 | -1.11e-16 | 0.0404 | 0.0145 | 0.0503 | 0.0496 | 0.0278 | 0 | 0.0267 | 0.0262 | 0.042 | 0.0903 | 0.513 | 0.0266 | 0.031 | 0.0526 | -0.0103 | 0.234 | 0.0279 |
 | SM 4top modeling | 0.29 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0.0203 | -0.0206 | 0 | 0 | 0 | 0.0543 | 0 | 0 | 0 | 0.00117 | 0.0366 | 0 | 0 | 0 | 0 | 0 | -0.0196 | -0.0281 | 0 | 0 | 0 | 0 | 0 | -0.0508 | 0 | 0 | 0 | 0 | 0 | 0.0378 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 2.22e-16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1.11e-16 | 0 | 0 | 0 | 0 | 0 | -0.134 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0237 | 0 | 0 | 0 | 0 | -0.0405 | -0.0319 | 0 | 0 | 0 | 0 | 0 | -0.021 | 0 | 0 | -0.0218 | -0.0223 | -0.0517 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttH_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | -5.59e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttHmodeling | 0 | 0 | 0 | 0 | 0 | 0 | -0.0136 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttW_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5.17e-06 | -3.68e-06 | 1.19e-05 | -1.08e-06 | 2.12e-05 | -4.96e-05 | 6.16e-06 | -1.34e-05 | -3.81e-05 | 0 |
