 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0225264 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0572209 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0217592 / 0.000971809 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | -2.22045e-16 / 0 | -2.22045e-16 / 0 | -0.0525651 / 0.0030777 | 0 / 0 | 0 / 0 | 0.0448144 / -0.000179377 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0.0321877 / -0.00113772 | 0.0817139 / 0.000326122 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / -2.22045e-16 | -0.99998 / 4.06241e-10 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -1.11022e-16 |
 | FT_EFF_Eigen_B_0__1 | 0.0319216 / -0.031056 | 0.0245104 / -0.0240408 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0669387 / -0.0639601 |
 | FT_EFF_Eigen_B_2__1 | -0.0652648 / 0.0688534 | -0.0544407 / 0.0563908 | -0.0364465 / 0.0368013 | -0.032329 / 0.0329039 | -0.0317734 / 0.0319921 | -0.033021 / 0.0352415 | -0.0306015 / 0.0308334 | 0 / 0 | -0.0360799 / 0.0366191 | 2.22045e-16 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.0487047 / 0.0493372 | -0.0224082 / 0.0226356 | -0.0299465 / 0.0302184 | -0.0223307 / 0.0226747 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0270673 / 0.027164 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0654331 / 0.0694399 |
 | FT_EFF_Eigen_B_3__1 | 0.0377019 / -0.036663 | 0.0289185 / -0.0283411 | 0 / 0 | 0 / 0 | -3.33067e-16 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0.020571 / -0.0202052 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0200222 / -0.0198754 | 0 / 0 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.038946 / -0.0379251 |
 | FT_EFF_Eigen_B_8__1 | 0.0359423 / -0.0351925 | 0.0295713 / -0.0292012 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 6.66134e-16 | -1.11022e-16 / -3.33067e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0388352 / -0.0379407 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_BJES_Response | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | -3.33067e-16 / 0 | 0 / 0 | 0 / 0 | 0.000718675 / 0.0258973 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 4.44089e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1.11022e-16 / -1.11022e-16 |
