 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4.69e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | -0.16 | -0.0924 | 0.0801 | 0.000126 | 8.38e-05 | -8.88e-16 | 7.03e-05 | 0 | 0.0883 | -0.0939 | 0.00243 | -0.0693 | -0.536 | 0.0306 | 0.0228 | 0.0259 | -0.099 | -0.0687 | -1 | 0 | 0 | -0.111 | -0.282 | -0.635 | 1.58 | 0 | -0.374 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.17 | 0.0954 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 0.537 | 0.598 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.318 | 0.318 | 0.546 | 0 | 1.03 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | 0.0226 | 0.0223 | 0.0241 | 0.0226 | 0.022 | 0.0262 | 0.0229 | 0 | -0.0422 | -0.0479 | 0.0257 | 0.0336 | -0.0628 | 0.0301 | 0.0215 | 0.0205 | 0.0237 | 0.0238 | -0.0265 | 0.022 | 0.0224 | 0.0207 | 0.0235 | 0.0447 | 0.14 | 0 | 0.0233 |
 | SM 4top modeling | 0.155 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0.0123 | -0.00451 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0484 | 0 | 0 | 0.021 | 0 | 0 | -1.11e-16 | 0 | 0 | 0.0647 | 0 | 0 | 0 | 0.0201 | 0.0221 | 0.0201 | 0 | 0.00926 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0233 | 0.0209 | -4.44e-16 | 0 | 0 | 0 | 0.022 | 0.0292 | 0.0931 | 0 | 0 | 0 | 0 | 0 | 0.0273 | 0 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0485 | -0.053 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0233 | 0 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttH_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | -9.42e-06 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttHmodeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0649 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttW_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2.53e-11 | 1.66e-11 | 8.53e-11 | 3.49e-10 | 1.72e-09 | 7.83e-09 | 0 | 0 |
