 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -5.59e-06 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | 0.0409 | 0.0685 | 0.175 | 0.1 | 0.0586 | -0.659 | 0.345 | 0 | -0.035 | 0.0502 | 3.18 | 12.7 | -0.136 | 2.69 | 70.7 | -0.479 | -0.126 | 0.25 | 0 | -0.0977 | 0.224 | 0.214 | -0.106 | 0.998 | -0.533 | 0.877 | 4.09 | -0.0709 | 0.0966 | 0.0172 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0659 | 6.52e-06 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 1.03 | 1.29 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.873 | 0.87 | 0.612 | 0 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | 0 | 0 | 0.0491 | 0 | 0 | -0.00582 | 0 | 0 | -0.0231 | -0.00787 | 0.0323 | 0.0356 | 0.0265 | 0.134 | -0.0205 | 0.0373 | 0.0237 | -0.0342 | 0 | 0.0426 | -0.0206 | 0.0212 | 0.0367 | 0.0804 | 0.106 | 0.0326 | 0.0264 | 0.0244 | -0.0775 | 0.0208 |
 | SM 4top modeling | 0.425 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0.0487 | 0.0476 | 0 | 0.0474 | 0 | 0.0118 | 0.0415 | 0 | 0.0481 | 0 | 0 | 0 | 0.0716 | 0.0455 | 0.0432 | 0.0463 | 0.0755 | 0 | 0 | 0.0208 | 0.0542 | 0.0736 | 0.0328 | 0.0521 | 0.0189 | 0.0472 | 0.0428 | -0.0129 | -2.22e-16 | 0.00186 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0.0506 | 0 | 0.0246 | 0.0116 | 0.0393 | 0 | 0.0286 | 0.0472 | 0.0865 | 0.12 | 0 | 0 | 0.0218 | 0 | 0.0288 | 0 | 0 | 0.0251 | 0.0386 | 0.0271 | 0.0261 | 0.0265 | 0.0324 | 0.0305 | 0 | 0.0326 | 0.0384 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | -0.0338 | 0 | -0.0426 | -0.0332 | -0.0335 | 0 | -0.051 | -0.0216 | 0 | -0.0354 | 0 | -0.0317 | 4.44e-16 | -0.0326 | -0.0492 | -0.095 | 0 | -0.0392 | -0.0372 | -0.0605 | -0.0224 | -0.0242 | -0.00776 | -0.0267 | -0.0735 | -0.0195 | 0 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
